BF,month_start,year_start,month_end,year_end,Track
Joe Jonas,7,2008,10,2008,Last Kiss
Joe Jonas,7,2008,10,2008,Forever & Always
Joe Jonas,7,2008,10,2008,Holy Ground
Taylor Lautner,8,2009,11,2009,Back To December
John Mayer,11,2009,2,2010,Dear John
Jake Gyllenhaal,7,2012,12,2010,The Last Time 
Conor Kennedy,7,2012,10,2012,Begin Again
Harry Styles,12,2012,1,2013,I Knew You Were Trouble
Harry Styles,12,2012,1,2013,Out of the Woods
Calvin Harris,3,2015,6,2016,We Are Never Ever Getting Back Together
Tom Hiddleston,6,2016,9,2016,Look What You Made Me Do
Joe Alwyn,11,2016,NA,NA,London Boy
Joe Alwyn,11,2017,NA,NA,Gorgeous
Joe Alwyn,11,2018,NA,NA,King of My Heart
